total_examples,true_positives,true_negatives,false_positives,false_negatives,fp_files,fn_files,accuracy,precision,recall,f1_score,prompt_id,prompt_name,n_rows,average_weighted_score,json_parse_failure_count,json_parse_failure_rate
45,17,16,1,11,['thumbnail (1).jpeg'],"['IMG_5485.PNG', 'IMG_5487.PNG', 'IMG_5489.PNG', 'IMG_5496.PNG', 'Screenshot_20260502_142853.png', 'Screenshot_20260502_143704.png', 'Screenshot_20260502_143738.png', 'random_image_2.jpeg', 'random_image_3.jpeg', 'random_image_5.jpeg', 'random_image_9.jpeg']",0.7333333333333333,0.9444444444444444,0.6071428571428571,0.7391304347826086,1,Prompt 1 — Literal Observable Checklist,45,0.2635555555555556,3,0.06666666666666667
45,11,16,1,17,['thumbnail (1).jpeg'],"['IMG_5485.PNG', 'IMG_5487.PNG', 'IMG_5489.PNG', 'IMG_5493.PNG', 'IMG_5496.PNG', 'Screenshot_20260502_142853.png', 'Screenshot_20260502_143036.png', 'Screenshot_20260502_143633.png', 'Screenshot_20260502_143704.png', 'Screenshot_20260502_143716.png', 'random_image_2.jpeg', 'random_image_3.jpeg', 'random_image_4.jpeg', 'random_image_5.jpeg', 'random_image_6.jpeg', 'random_image_7.jpeg', 'random_image_9.jpeg']",0.6,0.9166666666666666,0.39285714285714285,0.55,2,Prompt 2 — Conservative Binary Extractor,45,0.24444444444444444,1,0.022222222222222223
