model_tier,model_id,slice,source_folder,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,avg_output_tokens,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar,provisional
E2B,google/gemma-4-E2B-it,overall,all,400,0.66,0.6443142588136834,0.6126760563380281,0.87,0.7758620689655172,0.45,0.55,0.13,200,200,110,26,116,284,40.925,1.0,0.8,0.85,0.05,False,False
E4B,google/gemma-4-E4B-it,overall,all,210,0.5857142857142857,0.5447409733124019,0.75,0.2803738317757009,0.5470588235294118,0.9029126213592233,0.0970873786407767,0.719626168224299,103,107,10,77,170,40,36.957142857142856,0.9952380952380953,0.8,0.85,0.05,False,False
E4B,google/gemma-4-E4B-it,source_folder,personal_image_ham,103,0.9029126213592233,0.4744897959183674,0.0,0.0,1.0,0.9029126213592233,0.0970873786407767,0.0,103,0,10,0,93,10,37.0873786407767,1.0,0.8,0.85,0.05,False,False
E2B,google/gemma-4-E2B-it,source_folder,personal_image_spam,200,0.87,0.46524064171123,1.0,0.87,0.0,0.0,0.0,0.13,0,200,0,26,26,174,40.69,1.0,0.8,0.85,0.05,False,False
E2B,google/gemma-4-E2B-it,source_folder,personal_image_ham,200,0.45,0.3103448275862069,0.0,0.0,1.0,0.45,0.55,0.0,200,0,110,0,90,110,41.16,1.0,0.8,0.85,0.05,False,False
E4B,google/gemma-4-E4B-it,source_folder,personal_image_spam,107,0.2803738317757009,0.21897810218978103,1.0,0.2803738317757009,0.0,0.0,0.0,0.719626168224299,0,107,0,77,77,30,36.83177570093458,0.9906542056074766,0.8,0.85,0.05,False,False
