model_tier,model_id,source_folder,threshold,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar
E2B,google/gemma-4-E2B-it,all,0.18,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.19,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.20,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.21,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.22,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.23,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.24,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.25,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.26,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.27,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.28,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.29,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.30,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.31,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.32,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.33,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.34,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.35,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
