model_tier,tau_low,tau_high,cost,policy_cost,policy_ok,false_negative,hard_false_positive,soft_false_positive,scam_missed_safe,scam_escalated_suspicious,scam_caught_scam,safe_passed_safe,safe_escalated_suspicious,safe_flagged_scam,scam_miss_rate,scam_capture_rate,hard_false_positive_rate,soft_false_positive_rate,suspicious_rate,decisive_rate,n
E4B,0.65,0.85,60.400000000000006,60.85000000000001,False,17,181,72,17,9,229,747,72,181,0.06666666666666667,0.9333333333333333,0.181,0.072,0.06454183266932272,0.9354581673306773,1255
E4B,0.3,0.95,60.5,72.87500000000001,False,11,103,289,11,45,199,608,289,103,0.043137254901960784,0.9568627450980393,0.103,0.289,0.2661354581673307,0.7338645418326694,1255
E4B,0.25,0.95,60.6,73.475,False,11,103,290,11,45,199,607,290,103,0.043137254901960784,0.9568627450980393,0.103,0.29,0.26693227091633465,0.7330677290836654,1255
E4B,0.55,0.85,60.900000000000006,61.50000000000001,False,14,181,107,14,12,229,712,107,181,0.054901960784313725,0.9450980392156862,0.181,0.107,0.09482071713147411,0.9051792828685259,1255
E4B,0.6,0.85,60.900000000000006,61.50000000000001,False,14,181,107,14,12,229,712,107,181,0.054901960784313725,0.9450980392156862,0.181,0.107,0.09482071713147411,0.9051792828685259,1255
E4B,0.45,0.9,61.0,61.75,False,11,176,148,11,15,229,676,148,176,0.043137254901960784,0.9568627450980393,0.176,0.148,0.1298804780876494,0.8701195219123506,1255
E4B,0.45,0.85,61.5,62.25,False,11,181,143,11,15,229,676,143,181,0.043137254901960784,0.9568627450980393,0.181,0.143,0.1258964143426295,0.8741035856573706,1255
E4B,0.5,0.9,61.5,62.15,False,13,176,133,13,13,229,691,133,176,0.050980392156862744,0.9490196078431372,0.176,0.133,0.11633466135458168,0.8836653386454183,1255
E4B,0.85,0.9,61.7,61.7,False,26,176,5,26,0,229,819,5,176,0.10196078431372549,0.8980392156862745,0.176,0.005,0.00398406374501992,0.9960159362549801,1255
E4B,0.5,0.85,62.0,62.65,False,13,181,128,13,13,229,691,128,181,0.050980392156862744,0.9490196078431372,0.181,0.128,0.11235059760956176,0.8876494023904382,1255
E4B,0.7,0.75,62.300000000000004,62.400000000000006,False,17,202,49,17,2,236,749,49,202,0.06666666666666667,0.9333333333333333,0.202,0.049,0.04063745019920319,0.9593625498007968,1255
E4B,0.7,0.8,62.300000000000004,62.400000000000006,False,17,202,49,17,2,236,749,49,202,0.06666666666666667,0.9333333333333333,0.202,0.049,0.04063745019920319,0.9593625498007968,1255
E4B,0.65,0.75,62.50000000000001,62.60000000000001,False,17,202,51,17,2,236,747,51,202,0.06666666666666667,0.9333333333333333,0.202,0.051,0.04223107569721116,0.9577689243027888,1255
E4B,0.65,0.8,62.50000000000001,62.60000000000001,False,17,202,51,17,2,236,747,51,202,0.06666666666666667,0.9333333333333333,0.202,0.051,0.04223107569721116,0.9577689243027888,1255
E4B,0.55,0.75,63.00000000000001,63.25000000000001,False,14,202,86,14,5,236,712,86,202,0.054901960784313725,0.9450980392156862,0.202,0.086,0.07250996015936255,0.9274900398406375,1255
E4B,0.6,0.75,63.00000000000001,63.25000000000001,False,14,202,86,14,5,236,712,86,202,0.054901960784313725,0.9450980392156862,0.202,0.086,0.07250996015936255,0.9274900398406375,1255
E4B,0.55,0.8,63.00000000000001,63.25000000000001,False,14,202,86,14,5,236,712,86,202,0.054901960784313725,0.9450980392156862,0.202,0.086,0.07250996015936255,0.9274900398406375,1255
E4B,0.6,0.8,63.00000000000001,63.25000000000001,False,14,202,86,14,5,236,712,86,202,0.054901960784313725,0.9450980392156862,0.202,0.086,0.07250996015936255,0.9274900398406375,1255
